eventTime,eventPower
2011-04-20 05:29:40,1567.0
2011-04-20 05:30:25,-32.0
2011-04-20 05:30:36,-31.0
2011-04-20 05:30:47,-31.0
2011-04-20 05:31:33,-32.0
2011-04-20 05:32:37,-1513.0
2011-04-20 05:38:02,34.0
2011-04-20 05:38:09,-34.0
2011-04-20 05:56:39,36.0
2011-04-20 05:56:42,1485.0
2011-04-20 05:57:25,-1518.0
2011-04-20 05:58:36,34.0
2011-04-20 05:58:40,-34.0
2011-04-20 08:42:32,33.0
2011-04-20 08:42:36,358.0
2011-04-20 08:42:39,1183.0
2011-04-20 08:43:11,-1533.0
2011-04-20 08:43:20,-33.0
2011-04-20 09:05:20,33.0
2011-04-20 09:05:23,164.0
2011-04-20 09:05:26,1350.0
2011-04-20 09:08:43,-1450.0
2011-04-20 09:08:46,-33.0
2011-04-20 18:33:34,75.0
2011-04-20 18:33:38,1511.0
2011-04-20 18:34:38,-1578.0
2011-04-20 19:17:44,33.0
2011-04-20 19:17:51,1542.0
2011-04-20 19:19:49,-1539.0
2011-04-20 19:20:10,33.0
2011-04-20 19:20:43,1466.0
2011-04-20 19:21:40,-1494.0
2011-04-20 19:23:31,33.0
2011-04-20 19:23:38,-33.0
2011-04-20 20:54:38,33.0
2011-04-20 20:54:41,199.0
2011-04-20 20:54:45,1342.0
2011-04-20 20:55:44,-1544.0
2011-04-20 20:56:01,33.0
2011-04-20 20:56:05,-33.0
2011-04-20 20:57:45,33.0
2011-04-20 20:57:48,-33.0
2011-04-20 20:57:52,1522.0
2011-04-20 20:58:06,34.0
2011-04-20 20:59:10,-1492.0
2011-04-20 20:59:19,33.0
2011-04-20 20:59:29,-33.0
