time,kitchen_outlets1
2011-04-20 08:32:19,21.0
2011-04-20 08:32:23,64.0
2011-04-20 08:32:26,42.0
2011-04-20 08:32:30,41.0
2011-04-20 08:32:33,38.0
2011-04-20 08:32:37,41.0
2011-04-20 08:32:40,44.0
2011-04-20 08:32:43,47.0
2011-04-20 08:32:47,44.0
2011-04-20 08:32:50,39.0
2011-04-20 08:32:54,40.0
2011-04-20 08:32:57,46.0
2011-04-20 08:33:01,60.0
2011-04-20 08:33:04,66.0
2011-04-20 08:33:08,50.0
2011-04-20 08:33:11,56.0
2011-04-20 08:33:20,64.0
2011-04-20 08:33:23,63.0
2011-04-20 08:33:27,43.0
2011-04-20 08:33:30,68.0
2011-04-20 08:33:34,56.0
2011-04-20 08:33:37,55.0
2011-04-20 08:33:41,43.0
2011-04-20 08:33:44,39.0
2011-04-20 08:33:48,58.0
2011-04-20 08:33:51,45.0
2011-04-20 08:33:54,66.0
2011-04-20 08:33:58,52.0
2011-04-20 08:34:01,50.0
2011-04-20 08:34:05,51.0
2011-04-20 08:34:08,50.0
2011-04-20 08:34:12,54.0
2011-04-20 08:34:21,54.0
2011-04-20 08:34:24,41.0
2011-04-20 08:34:28,47.0
2011-04-20 08:34:31,52.0
2011-04-20 08:34:34,45.0
2011-04-20 08:34:38,43.0
2011-04-20 08:34:41,52.0
2011-04-20 08:34:45,39.0
2011-04-20 08:34:48,40.0
2011-04-20 08:34:52,39.0
2011-04-20 08:34:55,39.0
2011-04-20 08:34:59,39.0
2011-04-20 08:35:02,39.0
2011-04-20 08:35:06,41.0
2011-04-20 08:35:09,37.0
2011-04-20 08:35:18,41.0
2011-04-20 08:35:21,41.0
2011-04-20 08:35:25,38.0
2011-04-20 08:35:28,39.0
2011-04-20 08:35:32,39.0
2011-04-20 08:35:35,40.0
2011-04-20 08:35:39,39.0
2011-04-20 08:35:42,40.0
2011-04-20 08:35:46,38.0
2011-04-20 08:35:49,42.0
2011-04-20 08:35:52,40.0
2011-04-20 08:35:56,38.0
2011-04-20 08:35:59,40.0
2011-04-20 08:36:03,40.0
2011-04-20 08:36:06,39.0
2011-04-20 08:36:10,40.0
2011-04-20 08:36:19,39.0
2011-04-20 08:36:22,38.0
2011-04-20 08:36:26,38.0
2011-04-20 08:36:29,38.0
2011-04-20 08:36:33,39.0
2011-04-20 08:36:36,37.0
2011-04-20 08:36:39,42.0
2011-04-20 08:36:43,39.0
2011-04-20 08:36:46,39.0
2011-04-20 08:36:50,38.0
2011-04-20 08:36:53,39.0
2011-04-20 08:36:57,39.0
2011-04-20 08:37:00,41.0
2011-04-20 08:37:04,38.0
2011-04-20 08:37:07,40.0
2011-04-20 08:37:10,56.0
2011-04-20 08:37:19,37.0
2011-04-20 08:37:23,39.0
2011-04-20 08:37:26,40.0
2011-04-20 08:37:30,40.0
2011-04-20 08:37:33,39.0
2011-04-20 08:37:36,69.0
2011-04-20 08:37:40,40.0
2011-04-20 08:37:43,37.0
2011-04-20 08:37:47,59.0
2011-04-20 08:37:50,40.0
2011-04-20 08:37:54,39.0
2011-04-20 08:37:57,40.0
2011-04-20 08:38:01,38.0
2011-04-20 08:38:04,40.0
2011-04-20 08:38:08,40.0
2011-04-20 08:38:11,38.0
2011-04-20 08:38:19,38.0
2011-04-20 08:38:23,46.0
2011-04-20 08:38:27,38.0
2011-04-20 08:38:30,38.0
2011-04-20 08:38:33,42.0
2011-04-20 08:38:37,41.0
2011-04-20 08:38:40,43.0
2011-04-20 08:38:44,44.0
2011-04-20 08:38:47,41.0
2011-04-20 08:38:51,45.0
2011-04-20 08:38:54,41.0
2011-04-20 08:38:58,41.0
2011-04-20 08:39:01,43.0
2011-04-20 08:39:04,41.0
2011-04-20 08:39:08,42.0
2011-04-20 08:39:11,42.0
2011-04-20 08:39:20,61.0
2011-04-20 08:39:24,41.0
2011-04-20 08:39:27,56.0
2011-04-20 08:39:30,40.0
2011-04-20 08:39:34,42.0
2011-04-20 08:39:37,41.0
2011-04-20 08:39:41,42.0
2011-04-20 08:39:44,40.0
2011-04-20 08:39:48,40.0
2011-04-20 08:39:51,57.0
2011-04-20 08:39:55,41.0
2011-04-20 08:39:58,43.0
2011-04-20 08:40:02,44.0
2011-04-20 08:40:05,56.0
2011-04-20 08:40:08,41.0
2011-04-20 08:40:12,62.0
2011-04-20 08:40:21,42.0
2011-04-20 08:40:24,40.0
2011-04-20 08:40:28,41.0
2011-04-20 08:40:31,40.0
2011-04-20 08:40:34,40.0
2011-04-20 08:40:38,41.0
2011-04-20 08:40:42,41.0
2011-04-20 08:40:45,48.0
2011-04-20 08:40:48,39.0
2011-04-20 08:40:52,42.0
2011-04-20 08:40:55,55.0
2011-04-20 08:40:59,41.0
2011-04-20 08:41:02,33.0
2011-04-20 08:41:06,54.0
2011-04-20 08:41:09,55.0
2011-04-20 08:41:18,55.0
